table_name,column_name,data_type
customers,customer_id,str
customers,customer_unique_id,str
customers,customer_zip_code_prefix,int64
customers,customer_city,str
customers,customer_state,str
orders,order_id,str
orders,customer_id,str
orders,order_status,str
orders,order_purchase_timestamp,str
orders,order_approved_at,str
orders,order_delivered_carrier_date,str
orders,order_delivered_customer_date,str
orders,order_estimated_delivery_date,str
order_items,order_id,str
order_items,order_item_id,int64
order_items,product_id,str
order_items,seller_id,str
order_items,shipping_limit_date,str
order_items,price,float64
order_items,freight_value,float64
products,product_id,str
products,product_category_name,str
products,product_name_lenght,float64
products,product_description_lenght,float64
products,product_photos_qty,float64
products,product_weight_g,float64
products,product_length_cm,float64
products,product_height_cm,float64
products,product_width_cm,float64
sellers,seller_id,str
sellers,seller_zip_code_prefix,int64
sellers,seller_city,str
sellers,seller_state,str
