order_week,order_count
2016-08-29/2016-09-04,1
2016-09-05/2016-09-11,1
2016-09-12/2016-09-18,2
2016-09-26/2016-10-02,1
2016-10-03/2016-10-09,283
2016-10-10/2016-10-16,39
2016-10-17/2016-10-23,1
2016-12-19/2016-12-25,1
2017-01-02/2017-01-08,46
2017-01-09/2017-01-15,80
2017-01-16/2017-01-22,197
2017-01-23/2017-01-29,354
2017-01-30/2017-02-05,467
2017-02-06/2017-02-12,548
2017-02-13/2017-02-19,411
2017-02-20/2017-02-26,379
2017-02-27/2017-03-05,497
2017-03-06/2017-03-12,582
2017-03-13/2017-03-19,615
2017-03-20/2017-03-26,654
2017-03-27/2017-04-02,565
2017-04-03/2017-04-09,586
2017-04-10/2017-04-16,443
2017-04-17/2017-04-23,571
2017-04-24/2017-04-30,671
2017-05-01/2017-05-07,788
2017-05-08/2017-05-14,794
2017-05-15/2017-05-21,940
2017-05-22/2017-05-28,784
2017-05-29/2017-06-04,836
2017-06-05/2017-06-11,847
2017-06-12/2017-06-18,753
2017-06-19/2017-06-25,661
2017-06-26/2017-07-02,730
2017-07-03/2017-07-09,841
2017-07-10/2017-07-16,959
2017-07-17/2017-07-23,963
2017-07-24/2017-07-30,927
2017-07-31/2017-08-06,984
2017-08-07/2017-08-13,939
2017-08-14/2017-08-20,1044
2017-08-21/2017-08-27,890
2017-08-28/2017-09-03,1009
2017-09-04/2017-09-10,904
2017-09-11/2017-09-17,1164
2017-09-18/2017-09-24,994
2017-09-25/2017-10-01,964
2017-10-02/2017-10-08,999
2017-10-09/2017-10-15,1070
2017-10-16/2017-10-22,1147
2017-10-23/2017-10-29,978
2017-10-30/2017-11-05,942
2017-11-06/2017-11-12,1217
2017-11-13/2017-11-19,1313
2017-11-20/2017-11-26,3008
2017-11-27/2017-12-03,2098
2017-12-04/2017-12-10,1692
2017-12-11/2017-12-17,1401
2017-12-18/2017-12-24,978
2017-12-25/2017-12-31,877
2018-01-01/2018-01-07,1383
2018-01-08/2018-01-14,1785
2018-01-15/2018-01-21,1750
2018-01-22/2018-01-28,1591
2018-01-29/2018-02-04,1598
2018-02-05/2018-02-11,1584
2018-02-12/2018-02-18,1640
2018-02-19/2018-02-25,1756
2018-02-26/2018-03-04,1903
2018-03-05/2018-03-11,1643
2018-03-12/2018-03-18,1595
2018-03-19/2018-03-25,1716
2018-03-26/2018-04-01,1471
2018-04-02/2018-04-08,1590
2018-04-09/2018-04-15,1554
2018-04-16/2018-04-22,1672
2018-04-23/2018-04-29,1676
2018-04-30/2018-05-06,1770
2018-05-07/2018-05-13,1987
2018-05-14/2018-05-20,1837
2018-05-21/2018-05-27,954
2018-05-28/2018-06-03,1083
2018-06-04/2018-06-10,1438
2018-06-11/2018-06-17,1514
2018-06-18/2018-06-24,1457
2018-06-25/2018-07-01,1401
2018-07-02/2018-07-08,1196
2018-07-09/2018-07-15,1001
2018-07-16/2018-07-22,1678
2018-07-23/2018-07-29,1646
2018-07-30/2018-08-05,2058
2018-08-06/2018-08-12,1988
2018-08-13/2018-08-19,1875
2018-08-20/2018-08-26,1071
2018-08-27/2018-09-02,130
2018-09-03/2018-09-09,7
2018-09-10/2018-09-16,4
2018-09-17/2018-09-23,2
2018-09-24/2018-09-30,3
2018-10-01/2018-10-07,2
2018-10-15/2018-10-21,2
