seller_id,total_revenue,total_freight,order_item_count,unique_order_count,seller_city,seller_state
4869f7a5dfa277a7dca6462dcf3b52b2,229472.63,20168.07,1156,1132,guariba,SP
53243585a1d6dc2643021fd1853d8905,222776.05,13080.63,410,358,lauro de freitas,BA
4a3ca9315b744ce9f8e9374361493884,200472.92,35067.04,1987,1806,ibitinga,SP
fa1c13f2614d7b5c4749cbc52fecda94,194042.03,10042.7,586,585,sumare,SP
7c67e1448b00f6e969d365cea6b010ab,187923.89,51612.55,1364,982,itaquaquecetuba,SP
7e93a43ef30c4f03f38b393420bc753a,176431.87,6322.18,340,336,barueri,SP
da8622b14eb17ae2831f4ac5b9dab84a,160236.57,24955.75,1551,1314,piracicaba,SP
7a67c85e85bb2ce8582c35f2203ad736,141745.53,20902.85,1171,1160,sao paulo,SP
1025f0e2d44d7041d6cf58b6550e0bfa,138968.55,33892.14,1428,915,sao paulo,SP
955fee9216a65b617aa5c0531780ce60,135171.7,25430.98,1499,1287,sao paulo,SP
