order_week,order_count
2016-35,1
2016-36,1
2016-37,2
2016-39,1
2016-40,283
2016-41,39
2016-42,1
2016-51,1
2017-01,46
2017-02,80
2017-03,197
2017-04,354
2017-05,467
2017-06,548
2017-07,411
2017-08,379
2017-09,497
2017-10,582
2017-11,615
2017-12,654
2017-13,565
2017-14,586
2017-15,443
2017-16,571
2017-17,671
2017-18,788
2017-19,794
2017-20,940
2017-21,784
2017-22,836
2017-23,847
2017-24,753
2017-25,661
2017-26,730
2017-27,841
2017-28,959
2017-29,963
2017-30,927
2017-31,984
2017-32,939
2017-33,1044
2017-34,890
2017-35,1009
2017-36,904
2017-37,1164
2017-38,994
2017-39,964
2017-40,999
2017-41,1070
2017-42,1147
2017-43,978
2017-44,942
2017-45,1217
2017-46,1313
2017-47,3008
2017-48,2098
2017-49,1692
2017-50,1401
2017-51,978
2017-52,877
2018-01,1383
2018-02,1785
2018-03,1750
2018-04,1591
2018-05,1598
2018-06,1584
2018-07,1640
2018-08,1756
2018-09,1903
2018-10,1643
2018-11,1595
2018-12,1716
2018-13,1471
2018-14,1590
2018-15,1554
2018-16,1672
2018-17,1676
2018-18,1770
2018-19,1987
2018-20,1837
2018-21,954
2018-22,1083
2018-23,1438
2018-24,1514
2018-25,1457
2018-26,1401
2018-27,1196
2018-28,1001
2018-29,1678
2018-30,1646
2018-31,2058
2018-32,1988
2018-33,1875
2018-34,1071
2018-35,130
2018-36,7
2018-37,4
2018-38,2
2018-39,3
2018-40,2
2018-42,2
